SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,POPESTIMATE2006,POPESTIMATE2007,POPESTIMATE2008,POPESTIMATE2009
40,3,6,1,0,Alabama,Alabama,4447100,4447382,4451849,4464034,4472420,4490591,4512190,4545049,4597688,4637904,4677464,4708708
50,3,6,1,1,Alabama,Autauga County,43671,43671,43872,44434,45157,45762,46933,47870,49105,49834,50354,50756
50,3,6,1,3,Alabama,Baldwin County,140415,140415,141358,144988,148141,151707,156573,162564,168516,172815,176212,179878
50,3,6,1,5,Alabama,Barbour County,29038,29038,29035,29223,29289,29480,29458,29452,29556,29736,29836,29737
50,3,6,1,7,Alabama,Bibb County,20826,19889,19936,20942,20983,21037,21208,21375,21285,21485,21589,21587
50,3,6,1,9,Alabama,Blount County,51024,51022,51181,51999,52775,53726,54469,55035,55978,56866,57794,58345
50,3,6,1,11,Alabama,Bullock County,11714,11626,11604,11381,11261,11305,11038,10975,10739,10966,10921,10985
50,3,6,1,13,Alabama,Butler County,21399,21399,21313,21036,20607,20536,20476,20338,20231,20243,20171,19964
50,3,6,1,15,Alabama,Calhoun County,112249,112243,111342,111019,110860,111378,111615,112081,112453,112808,113422,114081
50,3,6,1,17,Alabama,Chambers County,36583,36614,36593,36281,35952,35626,35387,35173,34822,34731,34473,34320
50,3,6,1,19,Alabama,Cherokee County,23988,23986,24053,24078,24143,24159,24291,24268,24531,24474,24413,24448
50,3,6,1,21,Alabama,Chilton County,39593,39593,39781,40030,40460,40776,41170,41510,41821,42362,42696,42971
50,3,6,1,23,Alabama,Choctaw County,15922,15922,15850,15652,15342,15168,14894,14507,14389,14178,14083,13990
50,3,6,1,25,Alabama,Clarke County,27867,27873,27833,27634,27273,27076,26944,26740,26729,26416,26264,26042
50,3,6,1,27,Alabama,Clay County,14254,14254,14264,14257,14173,14066,13939,13847,13777,13772,13807,13640
50,3,6,1,29,Alabama,Cleburne County,14123,14123,14156,14196,14376,14378,14264,14276,14433,14692,14736,14759
50,3,6,1,31,Alabama,Coffee County,43615,43620,43540,43581,43759,44186,44712,45159,45639,46806,47773,48635
50,3,6,1,33,Alabama,Colbert County,54984,54984,55024,54841,54594,54319,54427,54399,54462,54606,54626,54639
50,3,6,1,35,Alabama,Conecuh County,14089,14089,14040,13894,13699,13436,13238,13176,13309,13118,13038,12931
50,3,6,1,37,Alabama,Coosa County,12202,11855,11843,11746,11539,11423,11156,10964,10857,10783,10724,10556
50,3,6,1,39,Alabama,Covington County,37631,37633,37490,36939,36661,36495,36322,36594,36717,36804,36646,36678
50,3,6,1,41,Alabama,Crenshaw County,13665,13665,13696,13700,13580,13562,13602,13541,13688,13741,13686,13781
50,3,6,1,43,Alabama,Cullman County,77483,77483,77580,77661,77814,78110,78711,79382,79871,80602,81518,81778
50,3,6,1,45,Alabama,Dale County,49129,49128,49068,49001,49070,49052,48691,48319,48038,48263,48400,48147
50,3,6,1,47,Alabama,Dallas County,46365,46379,46181,45910,44944,44504,43927,43358,43050,42780,42627,41925
50,3,6,1,49,Alabama,DeKalb County,64452,64454,64638,65519,65545,66009,66574,66920,67447,68275,68894,69380
50,3,6,1,51,Alabama,Elmore County,65874,65874,66230,67566,68822,70151,71276,73241,75511,77459,78125,79233
50,3,6,1,53,Alabama,Escambia County,38440,38440,38402,38430,38319,38028,37888,37642,37572,37623,37532,37434
50,3,6,1,55,Alabama,Etowah County,103459,103460,103313,102914,102815,102698,102657,102602,102854,103216,103435,103645
50,3,6,1,57,Alabama,Fayette County,18495,18495,18456,18341,18244,18145,17998,18012,17758,17538,17577,17371
